episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
173,1.9199999999999982,52,62660,4,1.0,49,0.49,8.166666666666666,1,0,0,0,0,36.0,42.0,41.0,53.0,57,33,31,51,36
174,2.759999999999999,31,62784,4,1.0,49,0.49,4.833333333333333,1,0,0,0,0,33.0,31.0,26.0,28.0,30,15,33,16,30
175,3.079999999999999,23,62876,4,1.0,41,0.41,9.166666666666666,1,0,0,0,0,23.0,23.0,23.0,23.0,31,21,15,10,15
176,3.2799999999999994,18,62948,4,1.0,32,0.32,8.5,1,0,0,0,0,21.0,19.0,24.0,18.0,13,17,13,14,15
177,3.2399999999999993,19,63024,4,1.0,38,0.38,9.166666666666666,1,0,0,0,0,26.0,23.0,22.0,19.0,10,21,17,15,13
178,0.3599999999999979,91,63388,4,1.0,51,0.51,5.333333333333333,1,0,0,0,0,62.0,75.0,80.0,68.0,126,52,69,61,56
179,3.119999999999999,22,63476,4,1.0,47,0.47,7.333333333333333,1,0,0,0,0,20.0,20.0,22.0,26.0,21,21,17,19,10
180,3.1599999999999993,21,63560,4,1.0,33,0.33,9.5,1,0,0,0,0,27.0,16.0,18.0,18.0,18,15,11,14,26
181,3.4399999999999995,14,63616,4,1.0,22,0.22,10.333333333333334,1,0,0,0,0,22.0,16.0,22.0,21.0,16,5,9,8,18
182,3.3199999999999994,17,63684,4,1.0,34,0.34,9.666666666666666,1,0,0,0,0,15.0,14.0,15.0,18.0,21,13,13,10,11
183,3.7199999999999998,7,63712,4,1.0,21,0.21,4.166666666666667,1,0,0,0,0,13.0,12.0,18.0,12.0,6,2,13,2,5
184,3.5599999999999996,11,63756,4,1.0,28,0.28,5.833333333333333,1,0,0,0,0,11.0,16.0,16.0,13.0,6,13,9,9,7
185,2.919999999999999,27,63864,4,1.0,42,0.42,8.166666666666666,1,0,0,0,0,31.0,27.0,32.0,20.0,26,20,28,17,17
186,1.5599999999999985,61,64108,4,1.0,47,0.47,9.666666666666666,1,0,0,0,0,27.0,45.0,38.0,43.0,61,40,56,34,53
187,3.4799999999999995,13,64160,4,1.0,26,0.26,7.333333333333333,1,0,0,0,0,18.0,23.0,16.0,9.0,4,14,8,13,13
