episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
141,2.5999999999999988,35,41404,4,1.0,31,0.31,3.3333333333333335,1,0,0,0,0,26.0,23.0,14.0,29.0,8,24,23,7,78
142,3.3199999999999994,17,41472,4,1.0,35,0.35,3.6666666666666665,1,0,0,0,0,14.0,16.0,16.0,16.0,12,18,5,16,17
143,2.3999999999999986,40,41632,4,1.0,40,0.4,3.5,1,0,0,0,0,19.0,26.0,23.0,29.0,17,29,26,20,68
144,3.0399999999999996,24,41728,4,1.0,36,0.36,4.666666666666667,1,0,0,0,0,18.0,19.0,23.0,25.0,14,13,11,28,30
145,2.6799999999999993,33,41860,4,1.0,33,0.33,6.166666666666667,1,0,0,0,0,17.0,18.0,18.0,24.0,16,12,22,20,62
146,3.0799999999999996,23,41952,4,1.0,28,0.28,1.0,1,0,0,0,0,12.0,20.0,16.0,17.0,12,17,5,18,40
147,3.4399999999999995,14,42008,4,1.0,28,0.28,0.5,1,0,0,0,0,19.0,15.0,12.0,21.0,16,5,3,19,13
148,2.9999999999999996,25,42108,4,1.0,28,0.28,1.6666666666666667,1,0,0,0,0,21.0,24.0,21.0,11.0,11,20,21,7,41
149,2.9599999999999995,26,42212,4,1.0,30,0.3,3.0,1,0,0,0,0,15.0,14.0,14.0,23.0,4,21,22,5,52
150,3.4799999999999995,13,42264,4,1.0,22,0.22,1.5,1,0,0,0,0,13.0,15.0,12.0,15.0,9,6,0,16,21
151,3.08,23,42356,4,1.0,30,0.3,7.166666666666667,1,0,0,0,0,14.0,9.0,20.0,21.0,6,16,17,18,35
152,3.3199999999999994,17,42424,4,1.0,29,0.29,1.8333333333333333,1,0,0,0,0,17.0,20.0,13.0,16.0,12,11,7,17,21
153,2.7199999999999993,32,42552,4,1.0,46,0.46,1.1666666666666667,1,0,0,0,0,21.0,24.0,21.0,26.0,24,4,32,20,48
154,2.719999999999999,32,42680,4,1.0,34,0.34,1.1666666666666667,1,0,0,0,0,14.0,18.0,28.0,20.0,7,27,7,23,64
155,2.959999999999999,26,42784,4,1.0,30,0.3,1.0,1,0,0,0,0,26.0,24.0,29.0,10.0,19,10,8,22,45
